Station Ground Water Level Information,,
Station,Station Code,Observed Range of Water Level
Alangiyam_1,1,8.42 - 8.43
Alukuli Pz,1,11.01 - 11.07
Ammapet1_1,1,9.66 - 9.67
Arachchalur_1,1,7.49 - 7.49
Ariyappanpalayam Pz_1,1,5.9 - 5.9
Asanur Pz,1,12.12 - 17.71
Basuvapatti Pz,1,7.72 - 7.74
Chengapalli_2,1,6.08 - 6.09
Chennampatti Pz_1,1,1 - 1
Chennimalai1_1,1,2.34 - 2.35
Dharapuram1_1,1,3.66 - 3.67
E.Vellampalayam Pz_1,1,5.41 - 5.41
Erode Pz,1,5.53 - 5.67
Gobichettipalayam_1,1,9.85 - 9.89
Guruvareddiyur_1,1,18.08 - 18.11
Kambaliyampatti Pz_1,1,7.26 - 7.29
Kambanaickenpalayam Pz,1,16.99 - 17
Kangayam1_1,1,9.01 - 9.03
Karumancheri Pz_1,1,9.79 - 9.8
Kathampalayam Pz,1,5.77 - 5.98
Kattupalayam Pz_1,1,6.08 - 6.09
Kavilipalayam Pz_1,1,5.08 - 5.09
Kodumudi Pz,1,5.76 - 5.98
Kottamangalam_1,1,19.24 - 22.66
Kugalur Pz,1,8.52 - 8.61
Kunnathur_1,1,11.31 - 11.31
Kurichi Pz_1,1,7.26 - 8.3
Malaiyapalayam Pz,1,8.1 - 8.12
Mulanur1_1,1,8.97 - 9.2
Muttur_1,1,8.31 - 8.32
Nagalapuram(Nagappapalaya M),1,4.11 - 4.21
Nallampatti Pz,1,10.07 - 10.08
Nilangelvalasu Pz,1,7.57 - 7.57
Olapalayam Pz,1,7.88 - 7.94
Padiyur Pz,1,10.51 - 10.52
Pandiyampalayam Pz,1,7.05 - 7.06
Periyapuliyur Pz,1,0.37 - 0.71
Priyakolanalli Pz,1,3.54 - 3.7
Puduppai Pz_1,1,5.96 - 5.97
Pungaipuliampatti_1,1,10.71 - 10.76
Sangarandampalayam Pz_1,1,20.61 - 20.76
Settunampalayam Pz_1,1,29.84 - 29.85
Urachikottai_1,1,217.46 - 217.46
Uthukuli Pz_1,1,17.8 - 17.8
Velliyampalayamputhur Pz_1,1,9.76 - 9.79
